PWM,RPS_Left,RPS_Right
1.3,-0.78,0.73
1.31,-0.78,0.73
1.32,-0.78,0.73
1.33,-0.79,0.73
1.34,-0.79,0.74
1.35,-0.78,0.74
1.36,-0.77,0.72
1.37,-0.77,0.72
1.38,-0.76,0.71
1.39,-0.74,0.68
1.4,-0.72,0.67
1.41,-0.7,0.64
1.42,-0.67,0.61
1.43,-0.62,0.58
1.44,-0.56,0.53
1.45,-0.48,0.46
1.46,-0.34,0.32
1.47,-0.22,0.21
1.48,-0.11,0.11
1.49,-0.01,0.01
1.5,0.0,-0.0
1.51,0.04,-0.06
1.52,0.16,-0.16
1.53,0.27,-0.26
1.54,0.37,-0.36
1.55,0.46,-0.44
1.56,0.54,-0.51
1.57,0.6,-0.57
1.58,0.66,-0.62
1.59,0.69,-0.66
1.6,0.71,-0.69
1.61,0.74,-0.71
1.62,0.75,-0.72
1.63,0.76,-0.73
1.64,0.77,-0.74
1.65,0.77,-0.75
1.66,0.77,-0.75
1.67,0.77,-0.75
1.68,0.77,-0.76
1.69,0.78,-0.75
1.7,0.78,-0.75
